full_name,type,state,party,marker
Richard Bassett,Senate,DE,Anti-Administration,DE
Theodorick Bland,House,VA,,VA9
Aedanus Burke,House,SC,,SC2
Daniel Carroll,House,MD,,MD6
George Clymer,House,PA,,PA
Benjamin Contee,House,MD,,MD3
Tristram Dalton,Senate,MA,Pro-Administration,MA
Jonathan Elmer,Senate,NJ,Pro-Administration,NJ
William Few,Senate,GA,Anti-Administration,GA
William Floyd,House,NY,,NY1
George Gale,House,MD,,MD5
William Grayson,Senate,VA,Anti-Administration,VA
Jonathan Grout,House,MA,,MA8
Benjamin Hawkins,Senate,NC,Pro-Administration,NC
Benjamin Huntington,House,CT,,CT
Ralph Izard,Senate,SC,Pro-Administration,SC
William Johnson,Senate,CT,Pro-Administration,CT
Samuel Johnston,Senate,NC,Pro-Administration,NC
Richard Lee,Senate,VA,Anti-Administration,VA
William Maclay,Senate,PA,Anti-Administration,PA
George Mathews,House,GA,,GA3
Robert Morris,Senate,PA,Pro-Administration,PA
George Partridge,House,MA,,MA5
William Paterson,Senate,NJ,Pro-Administration,NJ
William Smith,House,MD,,MD4
Michael Stone,House,MD,,MD1
Jeremiah Van Rensselaer,House,NY,,NY6
Henry Wynkoop,House,PA,,PA
Philemon Dickinson,Senate,NJ,Pro-Administration,NJ
John Walker,Senate,VA,Pro-Administration,VA
John Ashe,House,NC,,NC3
Robert Barnwell,House,SC,,SC2
Aaron Burr,Senate,NY,Republican,NY
George Cabot,Senate,MA,Federalist,MA
Charles Carroll,Senate,MD,,MD
Oliver Ellsworth,Senate,CT,Federalist,CT
Elbridge Gerry,House,MA,,MA3
Daniel Huger,House,SC,,SC3
Israel Jacobs,House,PA,,PA3
Philip Key,House,MD,,MD1
George Read,Senate,DE,,DE
Moses Robinson,Senate,VT,Anti-Administration,VT
Cornelius Schoonmaker,House,NY,,NY4
Joshua Seney,House,MD,,MD2
Upton Sheredine,House,MD,,MD6
Roger Sherman,Senate,CT,Pro-Administration,CT
Peter Silvester,House,NY,,NY5
John Steele,House,NC,,NC1
Samuel Sterett,House,MD,,MD4
Jonathan Sturges,House,CT,,CT
Thomas Tucker,House,SC,,SC5
Anthony Wayne,House,GA,,GA1
Alexander White,House,VA,,VA1
Hugh Williamson,House,NC,Federalist,NC4
Francis Willis,House,GA,,GA3
John Edwards,Senate,KY,Anti-Administration,KY
Richard Potts,Senate,MD,Federalist,MD
James Armstrong,House,PA,,PA
John Beatty,House,NJ,,NJ
Elias Boudinot,House,NJ,,NJ
Shearjashub Bourne,House,MA,,MA3
William Bradford,Senate,RI,Federalist,RI
Lambert Cadwalader,House,NJ,,NJ
Thomas Carnes,House,GA,,GA
Abraham Clark,House,NJ,,NJ
David Cobb,House,MA,,MA
Peleg Coffin,House,MA,,MA3
William Dawson,House,NC,Anti-Administration,NC8
Benjamin Edwards,House,MD,,MD3
Thomas Fitzsimons,House,PA,,PA
Uriah Forrest,House,MD,,MD3
Frederick FrelinghuySenate,Senate,NJ,Federalist,NJ
Alexander Gillon,House,SC,,SC5
James Gordon,House,NY,,NY9
Samuel Griffin,House,VA,,VA13
Samuel Holten,House,MA,,MA1
William Irvine,House,PA,,PA
Amasa Learned,House,CT,,CT
Richard Lee,House,VA,,VA17
Alexander Martin,Senate,NC,Republican,NC
Joseph McDowell,House,NC,,NC1
Alexander Mebane,House,NC,,NC4
John Mercer,House,MD,,MD2
Stephen Mitchell,Senate,CT,Pro-Administration,CT
William Montgomery,House,PA,,PA
Joseph Neville,House,VA,,VA3
Nathaniel Niles,House,VT,,VT2
Andrew Pickens,House,SC,,SC6
Thomas Scott,House,PA,,PA
Caleb Strong,Senate,MA,Federalist,MA
Silas Talbot,House,NY,,NY1
Thomas Tredwell,House,NY,,NY2
Peter Van Gaasbeck,House,NY,,NY4
John Vining,Senate,DE,Federalist,DE
Jeremiah Wadsworth,House,CT,,CT
Francis Walker,House,VA,,VA14
Artemas Ward,House,MA,,MA2
John Watts,House,NY,,NY1
Benjamin Williams,House,NC,,NC1
Paine Wingate,House,NH,,NH
Henry Tazewell,Senate,VA,Republican,VA
George Walton,Senate,GA,Federalist,GA
Fisher Ames,House,MA,Federalist,MA8
William Bingham,Senate,PA,Federalist,PA
Timothy Bloodworth,Senate,NC,Republican,NC
Benjamin Bourne,House,RI,Federalist,RI
Daniel Buck,House,VT,Federalist,VT2
Isaac Coles,House,VA,Republican,VA6
Jeremiah Crabb,House,MD,Federalist,MD3
Henry Dearborn,House,MA,Republican,MA12
Gabriel Duvall,House,MD,Republican,MD2
Samuel Earle,House,SC,Republican,SC6
Ezekiel Gilbert,House,NY,Federalist,NY6
Christopher Greenup,House,KY,Republican,KY1
James Gunn,Senate,GA,Federalist,GA
George Hancock,House,VA,Federalist,VA5
John Hathorn,House,NY,Republican,NY4
John Heath,House,VA,Republican,VA19
Thomas Henderson,House,NJ,Federalist,NJ
John Henry,Senate,MD,Federalist,MD
John Langdon,Senate,NH,Republican,NH
George Leonard,House,MA,Federalist,MA7
William Lyman,House,MA,Republican,MA2
Humphrey Marshall,Senate,KY,Federalist,KY
Frederick Muhlenberg,House,PA,Republican,PA2
William Murray,House,MD,Federalist,MD8
Alexander Orr,House,KY,Republican,KY2
John Page,House,VA,Republican,VA12
Elijah Paine,Senate,VT,Federalist,VT
John Patten,House,DE,Republican,DE
Francis Preston,House,VA,Republican,VA4
Jacob Read,Senate,SC,Federalist,SC
John Richards,House,PA,Republican,PA4
Robert Rutherford,House,VA,Republican,VA1
John Sherburne,House,NH,Republican,NH
Isaac Smith,House,NJ,Federalist,NJ
Thomas Sprigg,House,MD,Republican,MD4
William Strudwick,House,NC,Federalist,NC4
Zephaniah Swift,House,CT,Federalist,CT
Absalom Tatom,House,NC,Republican,NC4
Jonathan Trumbull,Senate,CT,Federalist,CT
James White,House,TN,,TN
William Blount,Senate,TN,Republican,TN
Benjamin Goodhue,Senate,MA,Federalist,MA
John Howard,Senate,MD,Federalist,MD
John Hunter,Senate,SC,Republican,SC
John Laurance,Senate,NY,Federalist,NY
Josiah Tattnall,Senate,GA,Republican,GA
John Allen,House,CT,Federalist,CT
Lemuel Benton,House,SC,Republican,SC3
Theophilus Bradbury,House,MA,Federalist,MA11
David Brooks,House,NY,Federalist,NY5
Nathan Bryan,House,NC,Republican,NC1
Stephen Bullock,House,MA,Federalist,MA7
Dempsey Burges,House,NC,Republican,NC8
John Chapman,House,PA,Federalist,PA4
Nathaniel Chipman,Senate,VT,Federalist,VT
James Cochran,House,NY,Federalist,NY1
Joshua Coit,House,CT,Federalist,CT
James Davenport,House,CT,Federalist,CT
George Ege,House,PA,Federalist,PA5
Theodore Foster,Senate,RI,Republican,RI
Nathaniel Freeman,House,MA,Republican,MA5
Carter Harrison,House,VA,Republican,VA1
Hezekiah Hosmer,House,NY,Federalist,NY6
Henry Latimer,Senate,DE,Federalist,DE
James Lloyd,Senate,MD,Federalist,MD
Matthew Locke,House,NC,Republican,NC2
James Machir,House,VA,Federalist,VA3
Stevens Mason,Senate,VA,Republican,VA
William Matthews,House,MD,Federalist,MD6
Blair McClenachan,House,PA,Republican,PA2
Joseph McDowell,House,NC,Republican,NC1
Daniel Morgan,House,VA,Federalist,VA1
Isaac Parker,House,MA,Federalist,MA12
James Ross,Senate,PA,Federalist,PA
John Rutherfurd,Senate,NJ,Federalist,NJ
Philip Schuyler,Senate,NY,Federalist,NY
