full_name,type,state,party,marker
Edwin May,House,CT,Republican,CT1
Joseph Holt,House,CA,Republican,CA22
Harlan Mitchell,House,GA,Democrat,GA7
Leonard Wolf,House,IA,Democrat,IA2
Merwin Coad,House,IA,Democrat,IA6
Harold McSween,House,LA,Democrat,LA8
Maurice Murphy,Senate,NH,Republican,NH
James Edmondson,Senate,OK,Democrat,OK
Ralph Harding,House,ID,Democrat,ID2
Patrick Martin,House,CA,Republican,CA38
K. Stinson,House,WA,Republican,WA7
Pierre Salinger,Senate,CA,Democrat,CA
Howard Callaway,House,GA,Republican,GA3
Ronald Cameron,House,CA,Democrat,CA25
Raymond Clevenger,House,MI,Democrat,MI11
Nathaniel Craley,House,PA,Democrat,PA19
Robert Ellsworth,House,KS,Republican,KS3
Stanley Greigg,House,IA,Democrat,IA6
Jed Johnson,House,OK,Democrat,OK6
Robert Kennedy,Senate,NY,Democrat,NY
Thomas McGrath,House,NJ,Democrat,NJ2
Roy McVicker,House,CO,Democrat,CO2
Alec Olson,House,MN,Democrat,MN6
Darwin Schisler,House,IL,Democrat,IL19
Robert Sweeney,House,OH,Democrat,OH
Joseph Tydings,Senate,MD,Democrat,MD
Weston Vivian,House,MI,Democrat,MI2
Charles Weltner,House,GA,Democrat,GA5
James Gardner,House,NC,Republican,NC4
Fred Harris,Senate,OK,Democrat,OK
Donald Irwin,House,CT,Democrat,CT4
Horace Kornegay,House,NC,Democrat,NC6
Joseph Resnick,House,NY,Democrat,NY28
James Smith,House,OK,Republican,OK6
Marlow Cook,Senate,KY,Republican,KY
Charles Goodell,Senate,NY,Republican,NY
James Battin,House,MT,Republican,MT2
Laurence Burton,House,UT,Republican,UT1
Edgar Foreman,House,NM,Republican,NM2
Allard Lowenstein,House,NY,Democrat,NY5
John Marsh,House,VA,Democrat,VA7
Richard McCarthy,House,NY,Democrat,NY39
Thomas Meskill,House,CT,Republican,CT6
Edwin Reinecke,House,CA,Republican,CA27
Donald Rumsfeld,House,IL,Republican,IL13
John Beall,Senate,MD,Republican,MD
Nicholas Begich,House,AK,Democrat,AK
Leonard Blanton,House,TN,Democrat,TN7
William Brock,Senate,TN,Republican,TN
Patrick Caffery,House,LA,Democrat,LA3
William Conover,House,PA,Republican,PA27
William Curlin,House,KY,Democrat,KY6
Edwin Edwards,House,LA,Democrat,LA7
Nick Galifianakis,House,NC,Democrat,NC4
David Gambrell,Senate,GA,Democrat,GA
Charles Griffin,House,MS,Democrat,MS3
Speedy Long,House,LA,Democrat,LA8
Jack McDonald,House,MI,Republican,MI19
James McKevitt,House,CO,Republican,CO1
John Schmitz,House,CA,Republican,CA35
John Terry,House,NY,Republican,NY34
Standish Thompson,House,GA,Republican,GA5
John Tunney,Senate,CA,Democrat,CA
Elaine Edwards,Senate,LA,Democrat,LA
James Abourezk,Senate,SD,Democrat,SD
Benjamin Blackburn,House,GA,Republican,GA4
Frank Brasco,House,NY,Democrat,NY11
Richard Clark,Senate,IA,Democrat,IA
George Collins,House,IL,Democrat,IL6
Paul Cronin,House,MA,Republican,MA5
Harold Froehlich,House,WI,Republican,WI8
William Gunter,House,FL,Democrat,FL5
Robert Hanrahan,House,IL,Republican,IL3
Orval HanSenate,House,ID,Republican,ID2
William Hathaway,Senate,ME,Democrat,ME
Lawrence Hogan,House,MD,Republican,MD5
William Hudnut,House,IN,Republican,IN11
William Keating,House,OH,Republican,OH1
Dan Kuykendall,House,TN,Republican,TN8
Peter Kyros,House,ME,Democrat,ME1
Richard Mallary,House,VT,Republican,VT
Robert Mathias,House,CA,Republican,CA18
Clem McSpadden,House,OK,Democrat,OK2
William Mills,House,MD,Republican,MD1
Wilmer Mizell,House,NC,Republican,NC5
Walter Mondale,Senate,MN,Democrat,MN
Bertram Podell,House,NY,Democrat,NY13
Walter Powell,House,OH,Republican,OH8
Robert Price,House,TX,Republican,TX13
John Rarick,House,LA,Democrat,LA6
Ogden Reid,House,NY,Democrat,NY24
Angelo Roncallo,House,NY,Republican,NY3
William Roy,House,KS,Democrat,KS2
Robert Steele,House,CT,Republican,CT2
Robert Tiernan,House,RI,Democrat,RI2
David Towell,House,NV,Republican,NV
Jerome Waldie,House,CA,Democrat,CA14
Birch Bayh,Senate,IN,Democrat,IN
Edward Biester,House,PA,Republican,PA8
Frank Church,Senate,ID,Democrat,ID
John Conlan,House,AZ,Republican,AZ4
John Culver,Senate,IA,Democrat,IA
John Durkin,Senate,NH,Democrat,NH
Marvin Esch,House,MI,Republican,MI2
Richard Fulton,House,TN,Democrat,TN5
Maurice Gravel,Senate,AK,Democrat,AK
William Green,House,PA,Democrat,PA3
Tim Hall,House,IL,Democrat,IL15
James Hastings,House,NY,Republican,NY39
Philip Hayes,House,IN,Democrat,IN8
Henry Helstoski,House,NJ,Democrat,NJ9
Allan Howe,House,UT,Democrat,UT2
Jerry Litton,House,MO,Democrat,MO6
Edward Mezvinsky,House,IA,Democrat,IA1
Robert Morgan,Senate,NC,Democrat,NC
James O’Hara,House,MI,Democrat,MI12
Thomas Rees,House,CA,Democrat,CA23
Richard Schweiker,Senate,PA,Republican,PA
James Stanton,House,OH,Democrat,OH2
Alan Steelman,House,TX,Republican,TX5
Sam Steiger,House,AZ,Republican,AZ3
Adlai Stevenson,Senate,IL,Democrat,IL
Richard Stone,Senate,FL,Democrat,FL
Williamson Stuckey,House,GA,Democrat,GA8
James Symington,House,MO,Democrat,MO2
Pierre du Pont,House,DE,Republican,DE
Wendell Anderson,Senate,MN,Democrat,MN
Joseph Ammerman,House,PA,Democrat,PA23
Herman Badillo,House,NY,Democrat,NY21
Robert Bergland,House,MN,Democrat,MN7
Michael Blouin,House,IA,Democrat,IA2
Yvonne Burke,House,CA,Democrat,CA28
Goodloe Byron,House,MD,Democrat,MD6
Bruce Caputo,House,NY,Republican,NY23
David Cornwell,House,IN,Democrat,IN8
John Cunningham,House,WA,Republican,WA7
Walter Flowers,House,AL,Democrat,AL7
Donald Fraser,House,MN,Democrat,MN5
Louis Frey,House,FL,Republican,FL9
Robert Gammage,House,TX,Democrat,TX22
Mark Hannaford,House,CA,Democrat,CA34
Michael Harrington,House,MA,Democrat,MA6
Kaneaster Hodges,Senate,AR,Democrat,AR
Barbara Jordan,House,TX,Democrat,TX18
Martha Keys,House,KS,Democrat,KS2
Edward Koch,House,NY,Democrat,NY18
John Krebs,House,CA,Democrat,CA17
Joseph LeFante,House,NJ,Democrat,NJ14
Robert Leggett,House,CA,Democrat,CA4
Lloyd Meeds,House,WA,Democrat,WA2
Helen Meyner,House,NJ,Democrat,NJ13
Dale Milford,House,TX,Democrat,TX24
Gary Myers,House,PA,Republican,PA25
Edward Pattison,House,NY,Democrat,NY29
Shirley Pettis,House,CA,Republican,CA37
Theodore RiSenatehoover,House,OK,Democrat,OK2
Frederick Rooney,House,PA,Democrat,PA15
Philip Ruppe,House,MI,Republican,MI11
Leo Ryan,House,CA,Democrat,CA11
Ronald Sarasin,House,CT,Republican,CT5
Harrison Schmitt,Senate,NM,Republican,NM
George Shipley,House,IL,Democrat,IL22
William Steiger,House,WI,Republican,WI6
Charles Thone,House,NE,Republican,NE1
Richard Tonry,House,LA,Democrat,LA1
James Tucker,House,AR,Democrat,AR2
Charles Wiggins,House,CA,Republican,CA39
Andrew Young,House,GA,Democrat,GA5
Maryon Allen,Senate,AL,Democrat,AL
Paul Hatfield,Senate,MT,Democrat,MT
Donald Stewart,Senate,AL,Democrat,AL
Jerome Ambro,House,NY,Democrat,NY3
Howard Baker,Senate,TN,Republican,TN
Alvin Baldus,House,WI,Democrat,WI3
Robert Bauman,House,MD,Republican,MD1
Edward Beard,House,RI,Democrat,RI2
John Brademas,House,IN,Democrat,IN3
John Buchanan,House,AL,Republican,AL6
William Burlison,House,MO,Democrat,MO1
John Cavanaugh,House,NE,Democrat,NE2
Mendel Davis,House,SC,Democrat,SC1
Herbert Harris,House,VA,Democrat,VA8
Elizabeth Holtzman,House,NY,Democrat,NY16
Walter Huddleston,Senate,KY,Democrat,KY
Richard Ichord,House,MO,Democrat,MO8
John Jenrette,House,SC,Democrat,SC6
Roger JepSenate,Senate,IA,Republican,IA
James Johnson,House,CO,Republican,CO4
Richard Kelly,House,FL,Republican,FL5
Anthony Leach,House,LA,Democrat,LA4
Gene Maguire,House,NJ,Democrat,NJ7
Marvin Mathis,House,GA,Democrat,GA2
Koln McKay,House,UT,Democrat,UT1
Abner Mikva,House,IL,Democrat,IL1
John Murphy,House,NY,Democrat,NY17
Morgan Murphy,House,IL,Democrat,IL2
Raphael Musto,House,PA,Democrat,PA11
Michael Myers,House,PA,Democrat,PA1
Lucien Nedzi,House,MI,Democrat,MI14
Harold Runnels,House,NM,Democrat,NM2
John Tower,Senate,TX,Republican,TX
David Treen,House,LA,Republican,LA3
Paul Tsongas,Senate,MA,Democrat,MA
Joseph Wyatt,House,TX,Democrat,TX14
